      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2024-06-12 19:08:49,    507,       2.29,          32,       0.11,      221.40,       13.97,       24.24,     507,       0
2024-06-12 19:10:40,   8025,     104.32,         483,       0.31,       76.93,        4.63,       24.05,    7975,      50
2024-06-12 19:56:58,   8025,     109.96,         483,       0.33,       72.98,        4.39,       24.02,    7975,      50
2024-06-12 20:00:43,   8025,     107.21,         483,       0.32,       74.85,        4.51,       23.89,    7975,      50
2024-06-12 20:04:13,   8025,     115.46,         483,       0.35,       69.50,        4.18,       23.99,    7975,      50
2024-06-12 20:23:21,   2347,      46.58,         146,       0.27,       50.39,        3.13,       13.72,    2322,       4
2024-06-12 20:26:53,   9625,     205.14,         581,       0.28,       46.92,        2.83,       13.13,    9550,      75
2024-06-12 20:36:43,   7989,     184.63,         483,       0.23,       43.27,        2.62,       10.14,    7935,      54
2024-06-12 20:39:24,   6575,     157.32,         406,       0.01,       41.79,        2.58,        0.38,    6575,       0
2024-06-12 21:38:33,    613,       7.19,          38,       0.29,       85.26,        5.29,       24.47,     613,       0
2024-06-12 21:41:42, 279726,    1199.32,       17267,       0.11,      233.24,       14.40,       25.00,  279726,       0
2024-06-12 21:51:09,   1571,       6.76,         100,       0.11,      232.40,       14.79,       24.78,    1571,       0
2024-06-12 21:52:41,  13575,      59.04,         840,       0.11,      229.93,       14.23,       24.97,   13575,       0
2024-06-12 21:58:25,  13723,      59.21,         848,       0.11,      231.77,       14.32,       24.97,   13723,       1
2024-06-12 22:01:35,  27656,     119.52,        1709,       0.11,      231.39,       14.30,       24.99,   27656,       0
2024-06-13 15:55:18,   5127,     331.53,         297,       1.10,       15.46,        0.90,       16.98,    5127,       1
2024-06-14 11:46:20,    318,       7.48,          22,       0.56,       42.51,        2.94,       23.99,     318,       0
2024-06-14 11:46:30,     87,       2.31,          10,       0.58,       37.66,        4.33,       22.03,      87,       0
2024-06-14 11:46:39,    152,       3.71,          13,       0.57,       40.97,        3.50,       23.25,     152,       0
2024-06-14 11:50:11,   8550,     203.14,         472,       0.55,       42.09,        2.32,       23.06,    8550,       0
2024-06-14 11:55:16,   4213,      87.06,         233,       0.52,       48.39,        2.68,       24.93,    4213,       0
2024-06-14 11:55:22,     94,       2.08,          10,       0.50,       45.19,        4.81,       22.68,      94,       0
2024-06-14 11:57:46,     97,       2.22,          10,       0.52,       43.69,        4.50,       22.75,      97,       0
2024-06-14 11:59:16,     27,       0.65,           0,       0.39,       41.54,        0.00,       16.28,      27,       0
2024-06-14 11:59:31,    172,       3.79,          14,       0.52,       45.38,        3.69,       23.43,     172,       0
2024-06-14 12:00:06,     73,       1.86,          10,       0.54,       39.25,        5.38,       21.23,      73,       0
2024-06-14 13:50:26,   7743,     227.45,         442,       0.73,       34.04,        1.94,       24.96,    7743,       0
2024-06-14 13:52:53,    175,       5.01,          14,       0.67,       34.93,        2.79,       23.50,     175,       0
2024-06-14 13:54:29,    175,       5.20,          14,       0.70,       33.65,        2.69,       23.48,     175,       0
2024-06-14 13:59:06,   8625,     249.93,         493,       0.67,       34.51,        1.97,       23.06,    8625,       0
2024-06-14 14:10:53,   4323,     130.64,         250,       0.60,       33.09,        1.91,       19.95,    4323,      56
2024-06-18 14:15:45,      0,       0.01,           0,       -nan,        0.00,        0.00,        0.00,       0,      25
2024-06-18 14:16:03,    175,       5.77,          14,       0.77,       30.33,        2.43,       23.50,     175,       0
